048.550.171-67;Ana Lívia Pinto;curtis@champlin.com;1991-03-05;27205 Viela Levi Santana;Abelardo Luz;Pará;B000HB2O2O;ES;Núbia Godins;christy_dickinson@langworth.org;G9IGG9;2021-11-27;hemácias;45-52;59
048.550.171-67;Ana Lívia Pinto;curtis@champlin.com;1991-03-05;27205 Viela Levi Santana;Abelardo Luz;Pará;B000HB2O2O;ES;Núbia Godins;christy_dickinson@langworth.org;G9IGG9;2021-11-27;leucócitos;9-61;18
048.550.171-67;Ana Lívia Pinto;curtis@champlin.com;1991-03-05;27205 Viela Levi Santana;Abelardo Luz;Pará;B000HB2O2O;ES;Núbia Godins;christy_dickinson@langworth.org;G9IGG9;2021-11-27;plaquetas;11-93;78
048.550.171-67;Ana Lívia Pinto;curtis@champlin.com;1991-03-05;27205 Viela Levi Santana;Abelardo Luz;Pará;B000HB2O2O;ES;Núbia Godins;christy_dickinson@langworth.org;G9IGG9;2021-11-27;hdl;19-75;97
013.808.384-36;Núbia Sais Filho;zachariah@olson.org;1972-11-08;12462 Travessa Marcela Mendes;Paraguaçu Paulista;Amazonas;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;QE2YVK;2021-06-28;hemácias;45-52;44
013.808.384-36;Núbia Sais Filho;zachariah@olson.org;1972-11-08;12462 Travessa Marcela Mendes;Paraguaçu Paulista;Amazonas;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;QE2YVK;2021-06-28;leucócitos;9-61;73
013.808.384-36;Núbia Sais Filho;zachariah@olson.org;1972-11-08;12462 Travessa Marcela Mendes;Paraguaçu Paulista;Amazonas;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;QE2YVK;2021-06-28;plaquetas;11-93;37
013.808.384-36;Núbia Sais Filho;zachariah@olson.org;1972-11-08;12462 Travessa Marcela Mendes;Paraguaçu Paulista;Amazonas;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;QE2YVK;2021-06-28;t4-livre;34-60;44
013.808.384-36;Núbia Sais Filho;zachariah@olson.org;1972-11-08;12462 Travessa Marcela Mendes;Paraguaçu Paulista;Amazonas;B000B7CDX4;SP;Sra. Calebe Louzada;kendra@nolan-sawayn.co;QE2YVK;2021-06-28;ácido úrico;15-61;54
081.031.558-02;Lucca Vidal;reba@hickle.biz;2003-05-31;74655 Viela Lorraine;São Fernando;Santa Catarina;B000BJ20J4;PI;Maria Luiza Pires;denna@wisozk.biz;D7723N;2021-07-29;hemácias;45-52;21
081.031.558-02;Lucca Vidal;reba@hickle.biz;2003-05-31;74655 Viela Lorraine;São Fernando;Santa Catarina;B000BJ20J4;PI;Maria Luiza Pires;denna@wisozk.biz;D7723N;2021-07-29;leucócitos;9-61;22
081.031.558-02;Lucca Vidal;reba@hickle.biz;2003-05-31;74655 Viela Lorraine;São Fernando;Santa Catarina;B000BJ20J4;PI;Maria Luiza Pires;denna@wisozk.biz;D7723N;2021-07-29;plaquetas;11-93;2
081.031.558-02;Lucca Vidal;reba@hickle.biz;2003-05-31;74655 Viela Lorraine;São Fernando;Santa Catarina;B000BJ20J4;PI;Maria Luiza Pires;denna@wisozk.biz;D7723N;2021-07-29;hdl;19-75;83
081.031.558-02;Lucca Vidal;reba@hickle.biz;2003-05-31;74655 Viela Lorraine;São Fernando;Santa Catarina;B000BJ20J4;PI;Maria Luiza Pires;denna@wisozk.biz;D7723N;2021-07-29;ldl;45-54;3
019.338.696-82;Vitor Hugo Gomes Neto;leona@bahringer.net;1978-01-26;s/n Marginal Eloah Dantas;Serra Negra do Norte;Santa Catarina;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;X1OV92;2022-01-17;hemácias;45-52;35
019.338.696-82;Vitor Hugo Gomes Neto;leona@bahringer.net;1978-01-26;s/n Marginal Eloah Dantas;Serra Negra do Norte;Santa Catarina;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;X1OV92;2022-01-17;leucócitos;9-61;79
019.338.696-82;Vitor Hugo Gomes Neto;leona@bahringer.net;1978-01-26;s/n Marginal Eloah Dantas;Serra Negra do Norte;Santa Catarina;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;X1OV92;2022-01-17;plaquetas;11-93;84
019.338.696-82;Vitor Hugo Gomes Neto;leona@bahringer.net;1978-01-26;s/n Marginal Eloah Dantas;Serra Negra do Norte;Santa Catarina;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;X1OV92;2022-01-17;hdl;19-75;66
019.338.696-82;Vitor Hugo Gomes Neto;leona@bahringer.net;1978-01-26;s/n Marginal Eloah Dantas;Serra Negra do Norte;Santa Catarina;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;X1OV92;2022-01-17;ldl;45-54;59
019.338.696-82;Vitor Hugo Gomes Neto;leona@bahringer.net;1978-01-26;s/n Marginal Eloah Dantas;Serra Negra do Norte;Santa Catarina;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;X1OV92;2022-01-17;vldl;48-72;65
